,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
38,27,2020-01-18,3,C,0,0,0,2,0,0,0,1,1,2,0,1,2,5,1,3,3,3,2,1,1,0,0,0,28,VIANDEN Frontière,N17A,Allemagne <-> Luxembourg deux sens ,Allemagne,Luxembourg,84055.21,110409.38,4,8
39,29,2020-01-18,1,C,1,4,5,3,1,3,2,6,4,10,6,7,6,3,8,4,5,2,5,1,3,1,0,1,91,GREVENMACHER Frontière,N10A,Allemagne vers Grevenmacher,Allemagne,Grevenmacher,99794.3,82493.125,20,12
40,29,2020-01-18,2,C,2,3,3,4,3,4,2,5,7,3,2,3,2,5,2,5,1,4,2,3,3,1,0,0,69,GREVENMACHER Frontière,N10A,Grevenmacher vers Allemagne,Allemagne,Grevenmacher,99794.3,82493.125,15,7
41,29,2020-01-18,3,C,3,7,8,7,4,7,4,11,11,13,8,10,8,8,10,9,6,6,7,4,6,2,0,1,160,GREVENMACHER Frontière,N10A,Allemagne <-> Grevenmacher deux sens ,Allemagne,Grevenmacher,99794.3,82493.125,35,19
42,30,2020-01-18,1,C,0,0,1,0,2,5,5,4,9,7,6,4,3,3,2,2,2,1,1,0,1,2,0,0,60,FRISANGE Frontière,N3,France vers Frisange,France,Frisange,81513.98,64407.594,20,4
43,30,2020-01-18,2,C,0,1,1,1,4,1,2,4,4,4,5,5,3,3,1,1,0,2,1,0,0,1,1,1,46,FRISANGE Frontière,N3,Frisange vers France,France,Frisange,81513.98,64407.594,12,3
44,30,2020-01-18,3,C,0,1,2,1,6,6,7,8,13,11,11,9,6,6,3,3,2,3,2,0,1,3,1,1,106,FRISANGE Frontière,N3,France <-> Frisange deux sens ,France,Frisange,81513.98,64407.594,32,7
45,58,2020-01-18,1,C,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,10,FRISANGE,N3,Frisange vers France,Frisange,France,81808.0,63523.0,2,3
46,58,2020-01-18,2,C,0,0,0,0,1,0,1,1,1,1,2,1,0,2,6,3,0,4,0,1,0,0,0,1,25,FRISANGE,N3,France vers Frisange,Frisange,France,81808.0,63523.0,3,4
47,58,2020-01-18,3,C,0,0,0,0,1,0,2,1,2,2,4,2,0,3,6,3,1,5,1,1,0,0,0,1,35,FRISANGE,N3,Frisange <-> France deux sens ,Frisange,France,81808.0,63523.0,5,7
